test_id,planned_route,profile_applicability,evidence_kind,canonical_owner,canonical_record
"TEST-0019","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0003-convergent-completion-scan/test-cases.md#test-0019"
"TEST-0020","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0001-common-development-protocol/test-cases.md#test-0020"
"TEST-0021","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0002-semi-automatic-consumer-updates/test-cases.md#test-0021"
"TEST-0022","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0004-self-updating-consumer-updater/test-cases.md#test-0022"
"TEST-0023","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0004-self-updating-consumer-updater/test-cases.md#test-0023"
"TEST-0024","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0004-self-updating-consumer-updater/test-cases.md#test-0024"
"TEST-0025","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0004-self-updating-consumer-updater/test-cases.md#test-0025"
"TEST-0026","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0004-self-updating-consumer-updater/test-cases.md#test-0026"
"TEST-0027","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0027"
"TEST-0028","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0028"
"TEST-0029","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0029"
"TEST-0030","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0030"
"TEST-0031","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0031"
"TEST-0032","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0005-ai-capabilities-lifecycle/test-cases.md#test-0032"
"TEST-0033","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0006-quick-adoption-launcher/test-cases.md#test-0033"
"TEST-0034","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0006-quick-adoption-launcher/test-cases.md#test-0034"
"TEST-0035","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0006-quick-adoption-launcher/test-cases.md#test-0035"
"TEST-0036","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0006-quick-adoption-launcher/test-cases.md#test-0036"
"TEST-0038","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0038"
"TEST-0039","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0039"
"TEST-0040","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0040"
"TEST-0041","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0041"
"TEST-0042","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0042"
"TEST-0043","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/idea-incubation/idea-incubation.tests.ps1","docs/features/FEAT-0008-idea-incubation/test-cases.md#test-0043"
"TEST-0044","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0008-idea-incubation/test-cases.md#test-0044"
"TEST-0045","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0045"
"TEST-0046","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0009-adoption-integrity/test-cases.md#test-0046"
"TEST-0047","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0009-adoption-integrity/test-cases.md#test-0047"
"TEST-0048","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0009-adoption-integrity/test-cases.md#test-0048"
"TEST-0049","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0009-adoption-integrity/test-cases.md#test-0049"
"TEST-0050","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0009-adoption-integrity/test-cases.md#test-0050"
"TEST-0051","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0007-local-codex-adoption/test-cases.md#test-0051"
"TEST-0052","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0052"
"TEST-0053","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0053"
"TEST-0054","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0054"
"TEST-0055","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0055"
"TEST-0056","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0056"
"TEST-0057","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0057"
"TEST-0058","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0058"
"TEST-0059","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0010-protocol-stability-invariants/test-cases.md#test-0059"
"TEST-0060","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0060"
"TEST-0061","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0061"
"TEST-0062","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0062"
"TEST-0063","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0063"
"TEST-0064","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0064"
"TEST-0065","ExternalProvider","repository-v1-not-applicable","ExternalPostPublication","tests/capabilities/publication-evidence/Verify-PostPublicationEvidence.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0065"
"TEST-0066","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0066"
"TEST-0067","InfrastructureContract","not-a-governance-profile-rule","GitHubActionsSemantic",".github/workflows/protocol-tests.yml","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0067"
"TEST-0068","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0011-stability-closure/test-cases.md#test-0068"
"TEST-0069","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0069"
"TEST-0070","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0070"
"TEST-0071","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0071"
"TEST-0072","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0072"
"TEST-0073","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0073"
"TEST-0074","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0074"
"TEST-0075","InfrastructureContract","not-a-governance-profile-rule","GitHubActionsSemantic",".github/workflows/protocol-tests.yml","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0075"
"TEST-0076","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0012-v082-correction/test-cases.md#test-0076"
"TEST-0077","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0077"
"TEST-0078","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0078"
"TEST-0079","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0079"
"TEST-0080","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0080"
"TEST-0083","ExternalProvider","repository-v1-not-applicable","ExecutableSuite","tests/capabilities/publication-evidence/post-publication-evidence.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0083"
"TEST-0084","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0084"
"TEST-0085","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0013-v084-correction/test-cases.md#test-0085"
"TEST-0086","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0086"
"TEST-0087","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0087"
"TEST-0088","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0088"
"TEST-0089","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0089"
"TEST-0090","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0090"
"TEST-0091","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0091"
"TEST-0092","MixedBoundary","pending-material-variant-split","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0092"
"TEST-0093","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0093"
"TEST-0094","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0094"
"TEST-0095","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0014-v085-convergence/test-cases.md#test-0095"
"TEST-0096","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0015-stability-consistency-mandate/test-cases.md#test-0096"
"TEST-0097","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0015-stability-consistency-mandate/test-cases.md#test-0097"
"TEST-0098","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0015-stability-consistency-mandate/test-cases.md#test-0098"
"TEST-0099","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0015-stability-consistency-mandate/test-cases.md#test-0099"
"TEST-0100","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0016-v091-quick-adoption-correction/test-cases.md#test-0100"
"TEST-0101","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0017-v092-single-file-quick-adoption/test-cases.md#test-0101"
"TEST-0102","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0018-v093-live-pr-metadata-correction/test-cases.md#test-0102"
"TEST-0103","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0019-v094-sandbox-progress-correction/test-cases.md#test-0103"
"TEST-0104","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0019-v094-sandbox-progress-correction/test-cases.md#test-0104"
"TEST-0105","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption-streaming.tests.ps1","docs/features/FEAT-0020-v095-streamed-codex-cancellation/test-cases.md#test-0105"
"TEST-0106","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption-streaming.tests.ps1","docs/features/FEAT-0020-v095-streamed-codex-cancellation/test-cases.md#test-0106"
"TEST-0107","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0021-v096-github-cli-prerequisite/test-cases.md#test-0107"
"TEST-0108","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/managed-merge-finalization.tests.ps1","docs/features/FEAT-0022-v097-managed-merge-finalization/test-cases.md#test-0108"
"TEST-0109","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/managed-merge-finalization.tests.ps1","docs/features/FEAT-0022-v097-managed-merge-finalization/test-cases.md#test-0109"
"TEST-0110","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/managed-merge-finalization.tests.ps1","docs/features/FEAT-0022-v097-managed-merge-finalization/test-cases.md#test-0110"
"TEST-0111","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0023-v0100-idempotent-consumer-lifecycle/test-cases.md#test-0111"
"TEST-0112","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/managed-merge-finalization.tests.ps1","docs/features/FEAT-0023-v0100-idempotent-consumer-lifecycle/test-cases.md#test-0112"
"TEST-0113","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0023-v0100-idempotent-consumer-lifecycle/test-cases.md#test-0113"
"TEST-0114","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0023-v0100-idempotent-consumer-lifecycle/test-cases.md#test-0114"
"TEST-0116","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0024-v0101-parallel-windows-validation/test-cases.md#test-0116"
"TEST-0118","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0025-v0102-balanced-windows-validation/test-cases.md#test-0118"
"TEST-0119","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/consumer-migrations.tests.ps1","docs/features/FEAT-0026-v0103-generic-consumer-transition-reconciliation/test-cases.md#test-0119"
"TEST-0120","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/consumer-migrations.tests.ps1","docs/features/FEAT-0026-v0103-generic-consumer-transition-reconciliation/test-cases.md#test-0120"
"TEST-0121","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0026-v0103-generic-consumer-transition-reconciliation/test-cases.md#test-0121"
"TEST-0122","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0026-v0103-generic-consumer-transition-reconciliation/test-cases.md#test-0122"
"TEST-0123","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/windows-validation/windows-validation-profile.tests.ps1","docs/features/FEAT-0027-v0104-runner-minute-efficiency/test-cases.md#test-0123"
"TEST-0124","InfrastructureContract","not-a-governance-profile-rule","GitHubActionsSemantic",".github/workflows/protocol-tests.yml","docs/features/FEAT-0027-v0104-runner-minute-efficiency/test-cases.md#test-0124"
"TEST-0125","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0028-v0104-atomic-legacy-updater-recovery/test-cases.md#test-0125"
"TEST-0126","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0028-v0104-atomic-legacy-updater-recovery/test-cases.md#test-0126"
"TEST-0127","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0029-v0110-protocol-aware-initial-adoption/test-cases.md#test-0127"
"TEST-0128","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/capabilities-bootstrap.tests.ps1","docs/features/FEAT-0029-v0110-protocol-aware-initial-adoption/test-cases.md#test-0128"
"TEST-0129","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0029-v0110-protocol-aware-initial-adoption/test-cases.md#test-0129"
"TEST-0130","PowerShellOperationalRetained","feat-0060-not-applicable","ExecutableSuite","tests/capabilities/initial-adoption/quick-adoption.tests.ps1","docs/features/FEAT-0029-v0110-protocol-aware-initial-adoption/test-cases.md#test-0130"
"TEST-0131","CSharpCandidate","protocol-authority","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0030-v0110-stability-cycle-agent-prompt/test-cases.md#test-0131"
"TEST-0132","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/protocol-governance/protocol-governance.tests.ps1","docs/features/FEAT-0030-v0110-stability-cycle-agent-prompt/test-cases.md#test-0132"
"TEST-0133","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/consumer-update/protocol-update.tests.ps1","docs/features/FEAT-0031-v0111-project-neutral-legacy-fixture/test-cases.md#test-0133"
"TEST-0134","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/capability-adoption/capability-catalog.tests.ps1","docs/features/FEAT-0032-general-capability-test-architecture/test-cases.md#test-0134"
"TEST-0135","CSharpCandidate","protocol-authority|consumer","ExecutableSuite","tests/capabilities/capability-adoption/capability-catalog.tests.ps1","docs/features/FEAT-0032-general-capability-test-architecture/test-cases.md#test-0135"
"TEST-0136","InfrastructureContract","not-a-governance-profile-rule","ExecutableSuite","tests/capabilities/test-architecture/test-discovery.tests.ps1","docs/features/FEAT-0032-general-capability-test-architecture/test-cases.md#test-0136"
